# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
161.948        	p              	-8.86163790e-01	(2.06331657e+00 -2.44486796e-01 0.00000000e+00)	5.55476323e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
161.948        	U              	(-5.40263378e-02 -5.75040056e-01 -2.95069448e-19)	(1.32348785e+00 1.56737365e-01 2.73886208e-17)	(1.28428255e+00 5.03008305e-01 1.96956006e-19)	(2.21924044e+00 -1.24250457e+00 0.00000000e+00)
162.004        	p              	-8.85395457e-01	(2.17191578e+00 -2.57367482e-01 2.42172863e-17)	5.54924243e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.004        	U              	(-1.96650180e-01 -2.92949047e-01 -2.80221177e-19)	(1.63379303e+00 9.14779550e-01 0.00000000e+00)	(1.29092318e+00 4.96901134e-01 1.89219900e-19)	(2.21924044e+00 -1.24250457e+00 0.00000000e+00)
162.059        	p              	-8.84589758e-01	(2.17191578e+00 -2.57367482e-01 2.42172863e-17)	5.54879821e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.059        	U              	(-6.66951677e-02 -3.87296132e-01 -3.51339695e-19)	(1.76997361e+00 6.96548736e-02 1.08022069e-17)	(1.22731789e+00 5.65195739e-01 1.37908838e-19)	(2.31039459e+00 -1.06499194e+00 7.36581049e-17)
162.114        	p              	-8.84274988e-01	(2.17191578e+00 -2.57367482e-01 2.42172863e-17)	5.54453939e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.114        	U              	(-6.53709756e-02 -4.04999699e-01 -3.56399404e-19)	(1.76997361e+00 6.96548736e-02 1.08022069e-17)	(1.23341060e+00 5.57038906e-01 1.34310467e-19)	(2.31039459e+00 -1.06499194e+00 7.36581049e-17)
162.17         	p              	-8.81692678e-01	(2.17191578e+00 -2.57367482e-01 2.42172863e-17)	5.54182656e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.17         	U              	(-6.46487429e-02 -4.22264671e-01 -3.60430378e-19)	(1.76997361e+00 6.96548736e-02 1.08022069e-17)	(1.18923999e+00 4.93453780e-01 1.31554608e-19)	(2.56367549e+00 -1.43531428e+00 0.00000000e+00)
162.225        	p              	-8.79873055e-01	(2.17191578e+00 -2.57367482e-01 2.42172863e-17)	5.54168170e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.225        	U              	(-6.45158557e-02 -4.39171843e-01 -3.65328925e-19)	(1.76997361e+00 6.96548736e-02 1.08022069e-17)	(1.19827206e+00 4.91139576e-01 1.32690157e-19)	(2.56367549e+00 -1.43531428e+00 0.00000000e+00)
162.281        	p              	-8.78453046e-01	(2.17191578e+00 -2.57367482e-01 2.42172863e-17)	5.53353015e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.281        	U              	(-6.50705243e-02 -4.55694027e-01 -3.66932352e-19)	(1.76997361e+00 6.96548736e-02 1.08022069e-17)	(1.14793548e+00 6.41594586e-01 6.93236304e-19)	(2.50577423e+00 -9.24548733e-01 0.00000000e+00)
162.336        	p              	-8.74959460e-01	(2.17191578e+00 -2.57367482e-01 2.42172863e-17)	5.53170217e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.336        	U              	(-6.62263189e-02 -4.71759472e-01 -3.70832677e-19)	(1.76997361e+00 6.96548736e-02 1.08022069e-17)	(1.21622248e+00 4.85815196e-01 1.34474311e-19)	(2.56367549e+00 -1.43531428e+00 0.00000000e+00)
162.392        	p              	-8.72488442e-01	(2.28455020e+00 -2.70726798e-01 1.46253312e-17)	5.52877940e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.392        	U              	(-6.80681559e-02 -4.87469441e-01 -3.72681184e-19)	(1.76997361e+00 6.96548736e-02 1.08022069e-17)	(1.22514775e+00 4.82786113e-01 1.35563732e-19)	(2.56367549e+00 -1.43531428e+00 0.00000000e+00)
162.448        	p              	-8.71190458e-01	(2.28455020e+00 -2.70726798e-01 1.46253312e-17)	5.52758399e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.448        	U              	(-7.05890578e-02 -5.02755305e-01 -3.74324926e-19)	(1.76997361e+00 6.96548736e-02 1.08022069e-17)	(1.16579230e+00 6.10827233e-01 6.45541326e-19)	(2.50577423e+00 -9.24548733e-01 0.00000000e+00)
162.504        	p              	-8.68489952e-01	(2.28455020e+00 -2.70726798e-01 1.46253312e-17)	5.52603141e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.504        	U              	(-2.42596700e-01 -4.01839252e-01 -6.95975745e-19)	(1.98894293e+00 9.16826597e-01 0.00000000e+00)	(1.17059028e+00 5.99251478e-01 6.27740183e-19)	(2.50577423e+00 -9.24548733e-01 0.00000000e+00)
162.56         	p              	-8.65573099e-01	(2.28455020e+00 -2.70726798e-01 1.46253312e-17)	5.52355581e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.56         	U              	(-2.34523466e-01 -4.21035292e-01 -7.03297784e-19)	(1.98894293e+00 9.16826597e-01 0.00000000e+00)	(1.25150750e+00 4.72214184e-01 1.38629568e-19)	(2.56367549e+00 -1.43531428e+00 0.00000000e+00)
162.616        	p              	-8.63198476e-01	(2.28455020e+00 -2.70726798e-01 1.46253312e-17)	5.51971998e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.616        	U              	(-8.23645349e-02 -5.45892723e-01 -3.75066730e-19)	(1.76997361e+00 6.96548736e-02 1.08022069e-17)	(1.22716323e+00 2.91521829e-01 2.72926302e-19)	(-1.86683358e-01 1.57596711e+00 2.82577808e-17)
162.672        	p              	-8.59798060e-01	(2.28455020e+00 -2.70726798e-01 1.46253312e-17)	5.51673051e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.672        	U              	(-8.78135062e-02 -5.59383073e-01 -3.73659284e-19)	(1.76997361e+00 6.96548736e-02 1.08022069e-17)	(1.28833006e+00 2.44800099e-01 3.15787109e-19)	(5.23566263e-02 1.33115644e+00 0.00000000e+00)
162.728        	p              	-8.60834186e-01	(2.29660709e+00 -9.04148698e-02 0.00000000e+00)	5.51118141e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.728        	U              	(-9.40351178e-02 -5.72511075e-01 -3.72397217e-19)	(1.76997361e+00 6.96548736e-02 1.08022069e-17)	(1.29226503e+00 2.43401979e-01 3.20480291e-19)	(5.23566263e-02 1.33115644e+00 0.00000000e+00)
162.784        	p              	-8.51972644e-01	(2.40136975e+00 -2.84582525e-01 2.77383640e-17)	5.50692664e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.784        	U              	(-1.86577775e-01 -4.90356310e-01 -7.43213868e-19)	(1.98894293e+00 9.16826597e-01 0.00000000e+00)	(1.20655716e+00 5.72329395e-01 3.29273363e-19)	(2.82879889e+00 -1.25888094e+00 0.00000000e+00)
162.841        	p              	-8.48316349e-01	(2.40136975e+00 -2.84582525e-01 2.77383640e-17)	5.50446878e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.841        	U              	(-1.70230354e-01 -5.05520113e-01 -7.52372024e-19)	(1.98894293e+00 9.16826597e-01 0.00000000e+00)	(1.21687559e+00 5.68585281e-01 3.27353680e-19)	(2.82879889e+00 -1.25888094e+00 0.00000000e+00)
162.897        	p              	-8.45815990e-01	(2.40136975e+00 -2.84582525e-01 2.77383640e-17)	5.50695283e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.897        	U              	(-1.52106754e-01 -5.19756638e-01 -7.66754503e-19)	(1.98894293e+00 9.16826597e-01 0.00000000e+00)	(1.22703248e+00 5.64450881e-01 3.24174706e-19)	(2.82879889e+00 -1.25888094e+00 0.00000000e+00)
162.954        	p              	-8.43215013e-01	(2.40136975e+00 -2.84582525e-01 2.77383640e-17)	5.50502490e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
162.954        	U              	(-1.32204701e-01 -5.33163671e-01 -7.84484709e-19)	(1.98894293e+00 9.16826597e-01 0.00000000e+00)	(1.23701631e+00 5.59919537e-01 3.21719806e-19)	(2.82879889e+00 -1.25888094e+00 0.00000000e+00)
163.011        	p              	-8.39926104e-01	(2.41396005e+00 -9.50409372e-02 0.00000000e+00)	5.50338575e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
163.011        	U              	(-1.10467379e-01 -5.45337114e-01 -7.99137148e-19)	(1.98894293e+00 9.16826597e-01 0.00000000e+00)	(1.24675106e+00 5.54977273e-01 3.17914233e-19)	(2.82879889e+00 -1.25888094e+00 0.00000000e+00)
163.067        	p              	-8.35475776e-01	(2.41396005e+00 -9.50409372e-02 0.00000000e+00)	5.50437834e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
163.067        	U              	(-8.66549967e-02 -5.56372434e-01 -8.17761471e-19)	(1.98894293e+00 9.16826597e-01 0.00000000e+00)	(1.32315922e+00 1.92093999e-01 4.29182251e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
163.124        	p              	-8.27047629e-01	(2.40136975e+00 -2.84582525e-01 2.77383640e-17)	5.50460164e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
163.124        	U              	(-1.95941021e-01 -3.37414232e-01 -7.35009361e-19)	(2.50577423e+00 9.24548733e-01 0.00000000e+00)	(1.32734208e+00 1.90071098e-01 4.34844280e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
163.181        	p              	-8.23295164e-01	(2.52252992e+00 -2.98953044e-01 -1.16567404e-17)	5.50344023e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
163.181        	U              	(-1.88312836e-01 -3.64212384e-01 -7.37021797e-19)	(2.50577423e+00 9.24548733e-01 0.00000000e+00)	(1.27432574e+00 5.37648751e-01 3.03960389e-19)	(2.82879889e+00 -1.25888094e+00 0.00000000e+00)
163.238        	p              	-8.20011003e-01	(2.52252992e+00 -2.98953044e-01 -1.16567404e-17)	5.50035971e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
163.238        	U              	(-1.79473098e-01 -3.90155891e-01 -7.41083179e-19)	(2.50577423e+00 9.24548733e-01 0.00000000e+00)	(1.28289998e+00 5.31006502e-01 2.99380392e-19)	(2.82879889e+00 -1.25888094e+00 0.00000000e+00)
163.296        	p              	-8.16485920e-01	(2.52252992e+00 -2.98953044e-01 -1.16567404e-17)	5.49629302e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
163.296        	U              	(-1.69066964e-01 -4.15301190e-01 -7.33514366e-19)	(2.50577423e+00 9.24548733e-01 0.00000000e+00)	(1.29107609e+00 5.23939461e-01 2.94531454e-19)	(2.82879889e+00 -1.25888094e+00 0.00000000e+00)
163.353        	p              	-8.10119818e-01	(2.52252992e+00 -2.98953044e-01 -1.16567404e-17)	5.49967352e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
163.353        	U              	(-1.57237264e-01 -4.39547269e-01 -7.37658605e-19)	(2.50577423e+00 9.24548733e-01 0.00000000e+00)	(1.29889199e+00 5.16390242e-01 2.88907780e-19)	(2.82879889e+00 -1.25888094e+00 0.00000000e+00)
163.411        	p              	-8.03542931e-01	(2.52252992e+00 -2.98953044e-01 -1.16567404e-17)	5.50061746e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
163.411        	U              	(-1.44003795e-01 -4.62986838e-01 -7.46421245e-19)	(2.50577423e+00 9.24548733e-01 0.00000000e+00)	(1.30634131e+00 5.08348718e-01 2.82392536e-19)	(2.82879889e+00 -1.25888094e+00 0.00000000e+00)
163.468        	p              	-7.97550428e-01	(2.52252992e+00 -2.98953044e-01 -1.16567404e-17)	5.50323838e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
163.468        	U              	(-1.29169020e-01 -4.85222532e-01 -7.42111156e-19)	(2.50577423e+00 9.24548733e-01 0.00000000e+00)	(1.31335822e+00 4.99841787e-01 2.74686448e-19)	(2.82879889e+00 -1.25888094e+00 0.00000000e+00)
163.526        	p              	-7.91582048e-01	(2.64819196e+00 -3.13857548e-01 -3.36752131e-17)	5.50431770e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
163.526        	U              	(-1.12431841e-01 -5.06375717e-01 -7.38624873e-19)	(2.50577423e+00 9.24548733e-01 0.00000000e+00)	(1.21098213e+00 6.33447880e-01 9.77074208e-20)	(3.11615026e+00 -1.04030998e+00 1.45409674e-17)
163.584        	p              	-7.89563374e-01	(2.64819196e+00 -3.13857548e-01 -3.36752131e-17)	5.50283157e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
163.584        	U              	(-9.43419275e-02 -5.26111176e-01 -7.53304556e-19)	(2.50577423e+00 9.24548733e-01 0.00000000e+00)	(1.21912703e+00 6.25282831e-01 1.00306342e-19)	(3.11615026e+00 -1.04030998e+00 1.45409674e-17)
163.642        	p              	-7.81695486e-01	(2.64819196e+00 -3.13857548e-01 -3.36752131e-17)	5.50243329e-01	(-1.03340804e+00 4.06193375e-02 1.52084025e-17)
163.642        	U              	(-7.47180692e-02 -5.44503016e-01 -7.56169491e-19)	(2.50577423e+00 9.24548733e-01 0.00000000e+00)	(1.22666145e+00 6.16457736e-01 1.02349042e-19)	(3.11615026e+00 -1.04030998e+00 1.45409674e-17)
163.7          	p              	-7.78211242e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.50816767e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
163.7          	U              	(-1.81757174e-01 -4.34738118e-01 -1.08769291e-18)	(2.69643629e+00 7.60821952e-01 -3.10085286e-17)	(1.23358965e+00 6.06960955e-01 1.04767742e-19)	(3.11615026e+00 -1.04030998e+00 1.45409674e-17)
163.759        	p              	-7.87807628e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.50899716e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
163.759        	U              	(-1.74668055e-01 -4.67032394e-01 -1.08050180e-18)	(2.69643629e+00 7.60821952e-01 -3.10085286e-17)	(1.23986859e+00 5.96745267e-01 1.06829138e-19)	(3.11615026e+00 -1.04030998e+00 1.45409674e-17)
163.817        	p              	-7.96883562e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.51188698e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
163.817        	U              	(-1.66313778e-01 -4.97986009e-01 -1.05424299e-18)	(2.69643629e+00 7.60821952e-01 -3.10085286e-17)	(1.24543563e+00 5.85834228e-01 1.08665793e-19)	(3.11615026e+00 -1.04030998e+00 1.45409674e-17)
163.876        	p              	-8.05634464e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.51518514e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
163.876        	U              	(-1.56955440e-01 -5.27617414e-01 -1.04070586e-18)	(2.69643629e+00 7.60821952e-01 -3.10085286e-17)	(1.25028995e+00 5.74178285e-01 1.10611136e-19)	(3.11615026e+00 -1.04030998e+00 1.45409674e-17)
163.935        	p              	-8.14282253e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.51916648e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
163.935        	U              	(-1.46480058e-01 -5.55973051e-01 -1.03039854e-18)	(2.69643629e+00 7.60821952e-01 -3.10085286e-17)	(1.25439904e+00 5.61727729e-01 1.12159205e-19)	(3.11615026e+00 -1.04030998e+00 1.45409674e-17)
163.994        	p              	-8.22167834e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.52532106e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
163.994        	U              	(-1.34184034e-01 -5.82918833e-01 -1.02363630e-18)	(2.69643629e+00 7.60821952e-01 -3.10085286e-17)	(1.25775385e+00 5.48473907e-01 1.13812463e-19)	(3.11615026e+00 -1.04030998e+00 1.45409674e-17)
164.053        	p              	-8.30175968e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.53099153e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.053        	U              	(-1.36124621e-01 -3.58393788e-01 -5.54671561e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.26032884e+00 5.34449810e-01 1.15055388e-19)	(3.11615026e+00 -1.04030998e+00 1.45409674e-17)
164.112        	p              	-8.38361049e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.53331391e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.112        	U              	(-1.35971818e-01 -3.98638779e-01 -5.38009867e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.26208927e+00 5.19575707e-01 1.16242927e-19)	(3.11615026e+00 -1.04030998e+00 1.45409674e-17)
164.171        	p              	-8.46769235e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.53580683e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.171        	U              	(-1.34980784e-01 -4.38246695e-01 -5.19537208e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.26298303e+00 5.03865228e-01 1.16881844e-19)	(3.11615026e+00 -1.04030998e+00 1.45409674e-17)
164.23         	p              	-8.54134816e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.54332615e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.23         	U              	(-1.32541965e-01 -4.77230144e-01 -5.04671954e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.28011421e+00 5.31314859e-01 1.15741062e-19)	(-4.07913065e-01 1.10565840e+00 1.12326279e-17)
164.289        	p              	-8.61533812e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.54690460e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.289        	U              	(-1.28584200e-01 -5.15209694e-01 -4.90964082e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.13896025e+00 6.17339229e-01 7.31574418e-20)	(3.39169061e+00 -8.15260510e-01 -1.30148659e-17)
164.348        	p              	-8.68723258e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.54925693e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.348        	U              	(-1.23123399e-01 -5.52074355e-01 -4.82520584e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.40816459e+00 2.54042379e-01 3.55854949e-19)	(-5.55685462e-02 1.41263523e+00 1.56671443e-17)
164.407        	p              	-8.75348771e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.55321745e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.407        	U              	(-1.16519830e-01 -5.87156416e-01 -4.71487271e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.43085041e+00 2.05959576e-01 4.57144703e-19)	(5.23566263e-02 1.33115644e+00 0.00000000e+00)
164.465        	p              	-8.81924059e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.55690890e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.465        	U              	(-1.08115135e-01 -6.19628445e-01 -4.47837443e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.32854071e+00 4.67148725e-01 2.15272811e-19)	(-3.19909090e-01 1.13417590e+00 2.16922058e-17)
164.523        	p              	-8.87940206e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.56519337e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.523        	U              	(-9.81264515e-02 -6.49952786e-01 -4.39016634e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.33284468e+00 4.67968661e-01 2.16707061e-19)	(-3.19909090e-01 1.13417590e+00 2.16922058e-17)
164.582        	p              	-8.94675505e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.56622297e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.582        	U              	(-8.72013620e-02 -6.77950937e-01 -4.26948470e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.44036033e+00 1.46178400e-01 5.77592545e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
164.64         	p              	-8.99921370e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.57153275e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.64         	U              	(-7.53094530e-02 -7.03695662e-01 -4.16019003e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.44438888e+00 1.45139841e-01 5.80543520e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
164.697        	p              	-9.05429977e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.57547402e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.697        	U              	(-6.20396864e-02 -7.27116986e-01 -4.05476843e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.34464523e+00 3.17468193e-01 6.38389916e-19)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
164.755        	p              	-9.10456565e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.57836687e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.755        	U              	(-4.66132645e-02 -7.48330839e-01 -3.99891887e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.34907094e+00 3.17896515e-01 6.42005947e-19)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
164.813        	p              	-9.15721951e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.57845565e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.813        	U              	(-2.98407792e-02 -7.66935642e-01 -3.89598066e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.41060162e+00 3.80395193e-01 1.56821285e-19)	(-2.60174967e-01 1.30751857e+00 -1.01600534e-17)
164.87         	p              	-9.20066260e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.58283652e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.87         	U              	(-1.17566428e-02 -7.83291036e-01 -3.79591639e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.46410520e+00 2.00818466e-01 4.72393040e-19)	(5.23566263e-02 1.33115644e+00 0.00000000e+00)
164.927        	p              	-9.24272124e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.58404090e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.927        	U              	(7.91959199e-03 -7.97718185e-01 -3.73743934e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.46768961e+00 2.00426424e-01 4.74106004e-19)	(5.23566263e-02 1.33115644e+00 0.00000000e+00)
164.984        	p              	-9.27983183e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.58984207e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
164.984        	U              	(2.92014636e-02 -8.09871025e-01 -3.61383808e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.41991783e+00 3.81104136e-01 1.58762328e-19)	(-2.60174967e-01 1.30751857e+00 -1.01600534e-17)
165.041        	p              	-9.31498762e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.59285535e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
165.041        	U              	(5.19543594e-02 -8.19759831e-01 -3.51386667e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.42280751e+00 3.81385870e-01 1.59210866e-19)	(-2.60174967e-01 1.30751857e+00 -1.01600534e-17)
165.098        	p              	-9.34651418e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.59643227e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
165.098        	U              	(7.62406352e-02 -8.27522509e-01 -3.43540595e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.42559327e+00 3.81691746e-01 1.59909998e-19)	(-2.60174967e-01 1.30751857e+00 -1.01600534e-17)
165.155        	p              	-9.37130820e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.59977019e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
165.155        	U              	(1.01980783e-01 -8.33209349e-01 -3.38365363e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.42825571e+00 3.82018270e-01 1.60351262e-19)	(-2.60174967e-01 1.30751857e+00 -1.01600534e-17)
165.211        	p              	-9.39488506e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.60511212e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
165.211        	U              	(1.29569471e-01 -8.36854456e-01 -3.30250675e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.47834109e+00 1.38878513e-01 6.02123246e-19)	(1.66357433e-01 1.40459629e+00 -7.82047486e-18)
165.268        	p              	-9.41898985e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.60617264e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
165.268        	U              	(1.58669602e-01 -8.38533745e-01 -3.22175985e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.48620768e+00 1.99360809e-01 4.77875425e-19)	(5.23566263e-02 1.33115644e+00 0.00000000e+00)
165.324        	p              	-9.43487596e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.60971551e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
165.324        	U              	(1.88914947e-01 -8.38138774e-01 -3.15522291e-19)	(2.87998353e+00 5.73373142e-01 0.00000000e+00)	(1.22808014e+00 6.28119896e-01 4.38306814e-19)	(-6.12939168e-01 1.09458582e+00 -1.02513368e-17)
165.38         	p              	-9.45533126e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.60830279e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
165.38         	U              	(-7.86547743e-02 -9.45130696e-01 -3.18137078e-19)	(2.66190925e+00 1.04815120e-01 2.22269931e-17)	(1.49121414e+00 1.99498432e-01 4.77968687e-19)	(5.23566263e-02 1.33115644e+00 0.00000000e+00)
165.437        	p              	-9.46905388e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.60784236e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
165.437        	U              	(-6.53835139e-02 -9.45907522e-01 -3.52990812e-19)	(2.66190925e+00 1.04815120e-01 2.22269931e-17)	(1.38887959e+00 3.23401322e-01 6.61181299e-19)	(-1.38518882e-01 1.16988517e+00 -1.04771484e-17)
165.493        	p              	-9.47895275e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.60821733e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
165.493        	U              	(-5.10747799e-02 -9.45539979e-01 -3.85777784e-19)	(2.66190925e+00 1.04815120e-01 2.22269931e-17)	(1.23598923e+00 5.39645492e-01 1.46803144e-19)	(3.98200656e+00 -1.03755101e+00 0.00000000e+00)
165.549        	p              	-9.48568831e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.60828613e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
165.549        	U              	(-3.55131610e-02 -9.44664823e-01 -4.22129575e-19)	(2.66190925e+00 1.04815120e-01 2.22269931e-17)	(1.23817225e+00 5.25914866e-01 1.43409466e-19)	(3.98200656e+00 -1.03755101e+00 0.00000000e+00)
165.605        	p              	-9.48458939e-01	(-4.06193375e-02 1.03340804e+00 0.00000000e+00)	5.61055409e-01	(-1.03340804e+00 -4.06193375e-02 -1.52065714e-17)
