# Forces       
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         forces(pressure viscous porous)	moments(pressure viscous porous)
1.05251        	((7.34105173e-01 6.94024031e-06 -4.19371659e-19) (3.51804049e-01 -1.27787574e-06 1.74816005e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.35668980e-21 1.15012614e-19 1.22657214e-12) (-2.07676034e-18 1.29618424e-20 -1.78124534e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.10573        	((7.47065894e-01 1.00062819e-05 -4.18098381e-19) (3.43601178e-01 -4.70303593e-07 1.70230076e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.67149151e-21 1.17014140e-19 2.58338325e-12) (-1.94230669e-18 1.30870193e-20 -4.65645050e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.15896        	((7.60213721e-01 1.11985594e-05 -4.16747346e-19) (3.36112901e-01 -1.02782026e-06 1.58091370e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.99463564e-21 1.19044800e-19 4.40307354e-12) (-2.02672049e-18 1.37860851e-20 -4.83537485e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.21233        	((7.73746640e-01 1.11581782e-05 -4.15422774e-19) (3.29231147e-01 -1.82625319e-06 1.44746659e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.31163775e-21 1.21178014e-19 4.78689343e-12) (-2.08661954e-18 1.44820425e-20 -7.71519081e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.26586        	((7.87719982e-01 1.23153721e-05 -4.14082231e-19) (3.22884251e-01 -2.45078866e-06 1.32888180e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.61309731e-21 1.23390656e-19 5.48784039e-12) (-2.11456750e-18 1.50583780e-20 -9.24903859e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.31938        	((8.02307494e-01 1.18495709e-05 -4.12846203e-19) (3.17024514e-01 -4.10106006e-06 1.23982857e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.92772813e-21 1.25725513e-19 6.08063776e-12) (-2.12844656e-18 1.54305386e-20 -2.00820554e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.37291        	((8.17220662e-01 1.19211875e-05 -4.11653590e-19) (3.11599043e-01 -5.63950438e-06 1.25751227e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.25915561e-21 1.28174075e-19 6.63316177e-12) (-2.13121933e-18 1.50135076e-20 -3.04417752e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.42659        	((8.32271586e-01 1.27120788e-05 -4.10547249e-19) (3.06511904e-01 -4.76265263e-06 1.19804996e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.56784265e-21 1.30703814e-19 6.48256687e-12) (-2.17089639e-18 1.52088976e-20 -2.17162226e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.48027        	((8.47678130e-01 1.33274979e-05 -4.09567184e-19) (3.01822469e-01 -4.95780748e-06 1.16372296e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.86453635e-21 1.33342668e-19 6.68418299e-12) (-2.20141254e-18 1.52282846e-20 -3.22283757e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.53395        	((8.63036469e-01 1.10515291e-05 -4.08530665e-19) (2.97451480e-01 -6.64189451e-06 1.15658236e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.17204361e-21 1.35942504e-19 6.42011119e-12) (-2.20741679e-18 1.50313958e-20 -7.52749676e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
