# Region type : patch out
# Faces  :     80
# Area   :     4.00000000e+01
# Time         	sum(phi)
123.411        	4.00000002e+01
123.47         	4.00000001e+01
123.529        	4.00000003e+01
123.588        	4.00000004e+01
123.647        	4.00000002e+01
123.707        	4.00000002e+01
123.766        	4.00000002e+01
123.826        	4.00000001e+01
123.885        	4.00000002e+01
123.945        	4.00000002e+01
124.004        	4.00000001e+01
124.064        	4.00000002e+01
124.123        	4.00000002e+01
124.182        	4.00000000e+01
124.241        	4.00000002e+01
124.3          	4.00000000e+01
124.358        	4.00000001e+01
124.416        	4.00000000e+01
124.475        	4.00000001e+01
124.533        	3.99999999e+01
124.591        	4.00000000e+01
124.649        	4.00000000e+01
124.707        	4.00000000e+01
124.764        	4.00000000e+01
124.822        	3.99999999e+01
124.879        	4.00000000e+01
124.937        	4.00000000e+01
124.994        	4.00000001e+01
125.051        	3.99999999e+01
125.107        	3.99999999e+01
125.164        	4.00000000e+01
125.221        	4.00000000e+01
125.278        	3.99999999e+01
125.334        	4.00000000e+01
125.391        	3.99999999e+01
125.447        	4.00000000e+01
125.503        	4.00000000e+01
125.559        	3.99999999e+01
125.616        	4.00000000e+01
125.672        	3.99999999e+01
125.728        	4.00000001e+01
125.783        	3.99999997e+01
125.839        	3.99999999e+01
125.895        	4.00000000e+01
125.951        	4.00000000e+01
126.007        	4.00000000e+01
126.063        	3.99999999e+01
126.118        	4.00000001e+01
126.174        	3.99999999e+01
126.23         	3.99999999e+01
126.286        	4.00000000e+01
126.341        	4.00000000e+01
126.397        	4.00000000e+01
126.453        	4.00000000e+01
126.509        	4.00000000e+01
126.564        	4.00000002e+01
126.62         	3.99999997e+01
126.676        	4.00000000e+01
126.732        	4.00000001e+01
126.787        	4.00000000e+01
126.843        	4.00000000e+01
126.899        	4.00000000e+01
126.955        	4.00000000e+01
127.011        	4.00000001e+01
127.067        	4.00000000e+01
127.123        	4.00000001e+01
127.179        	4.00000002e+01
127.235        	4.00000002e+01
127.292        	4.00000002e+01
127.348        	4.00000002e+01
127.405        	4.00000002e+01
127.461        	4.00000003e+01
127.518        	4.00000001e+01
127.574        	4.00000002e+01
127.631        	4.00000003e+01
127.688        	4.00000003e+01
127.745        	4.00000002e+01
127.802        	4.00000003e+01
127.859        	4.00000003e+01
127.916        	4.00000003e+01
127.974        	4.00000003e+01
128.031        	4.00000001e+01
128.089        	4.00000003e+01
128.146        	4.00000003e+01
128.204        	4.00000003e+01
128.262        	4.00000002e+01
128.32         	4.00000003e+01
128.378        	4.00000001e+01
128.437        	4.00000003e+01
128.495        	4.00000002e+01
128.554        	4.00000001e+01
128.612        	4.00000002e+01
128.671        	4.00000003e+01
128.73         	4.00000002e+01
