# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
154            	-9.86265996e-10	1.62736389e+00	-4.54013497e-09	-3.25633348e-09	-1.28380149e-09
155            	-1.09830714e-09	1.62717969e+00	-2.71367828e-10	-1.23399106e-09	9.62623229e-10
156            	-1.15311270e-09	1.62700045e+00	9.73803933e-09	3.71590696e-09	6.02213236e-09
157            	-1.15277338e-09	1.62682604e+00	1.52025832e-08	6.44851821e-09	8.75406497e-09
158            	-1.14043099e-09	1.62665634e+00	1.38502844e-08	5.78471119e-09	8.06557318e-09
159            	-1.14872166e-09	1.62649122e+00	9.28796952e-09	3.49526310e-09	5.79270642e-09
160            	-1.17720566e-09	1.62633055e+00	5.70891398e-09	1.67725133e-09	4.03166265e-09
161            	-1.20542323e-09	1.62617421e+00	4.92057658e-09	1.25486506e-09	3.66571152e-09
162            	-1.21700282e-09	1.62602209e+00	6.28785324e-09	1.92692380e-09	4.36092944e-09
163            	-1.21626706e-09	1.62587406e+00	-1.71510188e-09	-2.07381800e-09	3.58716116e-10
164            	-1.21559835e-09	1.62573005e+00	1.20671024e-09	-6.12243232e-10	1.81895347e-09
165            	-1.20312392e-09	1.62558995e+00	8.45545193e-09	3.02460204e-09	5.43084989e-09
166            	-1.18365348e-09	1.62545361e+00	1.10527480e-08	4.34272053e-09	6.71002748e-09
167            	-1.16507334e-09	1.62532094e+00	7.38197923e-09	2.52591627e-09	4.85606296e-09
168            	-1.14990176e-09	1.62519185e+00	2.57051049e-09	1.35353486e-10	2.43515700e-09
169            	-1.13423211e-09	1.62506626e+00	1.34608347e-09	-4.61190373e-10	1.80727384e-09
170            	-1.11339079e-09	1.62494406e+00	3.47251999e-09	6.22869209e-10	2.84965078e-09
171            	-1.40666115e-09	1.62482519e+00	-1.29989421e-08	-7.90613221e-09	-5.09280991e-09
172            	-1.70098142e-09	1.62470952e+00	-2.69473398e-08	-1.51746513e-08	-1.17726885e-08
173            	-1.96438958e-09	1.62459696e+00	-2.59486416e-08	-1.49387104e-08	-1.10099312e-08
174            	-2.18286823e-09	1.62448743e+00	-1.53590698e-08	-9.86240313e-09	-5.49666667e-09
175            	-2.37018350e-09	1.62438087e+00	-7.22734085e-09	-5.98385392e-09	-1.24348693e-09
176            	-2.54970792e-09	1.62427720e+00	-7.19923280e-09	-6.14932432e-09	-1.04990848e-09
177            	-2.73358967e-09	1.62417634e+00	-1.16630310e-08	-8.56510516e-09	-3.09792583e-09
178            	-2.91706423e-09	1.62407819e+00	-1.41850438e-08	-1.00095861e-08	-4.17545767e-09
