# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
2.3078         	-2.32785881e-08	1.80121511e-01	8.93940278e-06	4.44642280e-06	4.49297998e-06
2.34383        	-9.70625037e-09	1.88210103e-01	1.02868267e-05	5.13370708e-06	5.15311958e-06
2.37986        	1.68813319e-08	1.95752403e-01	9.20953674e-06	4.62164970e-06	4.58788704e-06
2.41597        	-4.95043971e-08	2.04449331e-01	9.61104146e-06	4.75601634e-06	4.85502513e-06
2.45208        	-4.80378443e-08	2.11233766e-01	9.80246372e-06	4.85319402e-06	4.94926971e-06
2.48818        	1.04359548e-08	2.19024991e-01	9.49968218e-06	4.76027704e-06	4.73940513e-06
2.52429        	-4.50105895e-08	2.25519724e-01	8.82106201e-06	4.36552041e-06	4.45554159e-06
2.5604         	-8.82561768e-08	2.33692727e-01	8.81333821e-06	4.31841293e-06	4.49492528e-06
2.59658        	-2.75502167e-08	2.41943016e-01	7.59405191e-06	3.76947574e-06	3.82457617e-06
2.63276        	-8.38977388e-08	2.50235801e-01	7.95506839e-06	3.89363645e-06	4.06143193e-06
2.66894        	-1.05236002e-07	2.58658229e-01	6.03518545e-06	2.91235672e-06	3.12282872e-06
2.70512        	-5.85623574e-08	2.66228534e-01	6.15028097e-06	3.01657813e-06	3.13370284e-06
2.7413         	1.47569784e-08	2.76028455e-01	6.18536312e-06	3.10743854e-06	3.07792458e-06
2.77756        	2.02219941e-07	2.81641697e-01	6.03329928e-06	3.21886958e-06	2.81442970e-06
2.81382        	2.10009452e-07	2.90502504e-01	5.14766849e-06	2.78384370e-06	2.36382479e-06
2.85008        	5.94633501e-09	2.99120627e-01	2.59932997e-06	1.30561132e-06	1.29371865e-06
2.88634        	9.24236064e-09	3.09241918e-01	8.12293418e-06	4.07070945e-06	4.05222473e-06
2.92259        	-7.18265293e-08	3.18235344e-01	7.28001256e-06	3.56817975e-06	3.71183281e-06
2.95893        	-3.66540301e-07	3.24842043e-01	5.82838670e-06	2.54765305e-06	3.28073365e-06
2.99526        	-2.84501769e-07	3.33902663e-01	8.15564356e-06	3.79332001e-06	4.36232355e-06
3.0316         	-2.23135146e-08	3.44785219e-01	6.76906144e-06	3.36221721e-06	3.40684424e-06
3.06793        	7.13970384e-09	3.53208659e-01	6.58474980e-06	3.29951460e-06	3.28523519e-06
3.10435        	-1.34946488e-07	3.62315976e-01	2.68432589e-06	1.20721646e-06	1.47710943e-06
3.14076        	-6.09248143e-08	3.70618802e-01	4.59016484e-06	2.23415761e-06	2.35600723e-06
3.17717        	8.51298398e-09	3.82857184e-01	4.52798956e-06	2.27250776e-06	2.25548180e-06
3.21358        	-1.05515645e-08	3.90549851e-01	2.03973036e-06	1.00931361e-06	1.03041674e-06
3.25008        	3.75667252e-09	3.99464461e-01	4.53502682e-06	2.27127008e-06	2.26375674e-06
3.28657        	1.14258679e-08	4.09237125e-01	2.87669033e-06	1.44977103e-06	1.42691930e-06
3.32306        	1.97976804e-08	4.16744633e-01	1.95551565e-06	9.97555503e-07	9.57960142e-07
3.35955        	3.83064347e-08	4.24931272e-01	2.05543243e-06	1.06602265e-06	9.89409779e-07
3.39613        	3.85671752e-08	4.31770951e-01	4.57507095e-06	2.32610265e-06	2.24896830e-06
3.4327         	3.63291098e-08	4.39696118e-01	7.45083991e-07	4.08871106e-07	3.36212886e-07
3.46927        	4.45720326e-08	4.47319006e-01	-3.67685021e-06	-1.79385307e-06	-1.88299714e-06
3.50592        	2.78343943e-08	4.55138246e-01	-7.56080078e-06	-3.75256600e-06	-3.80823478e-06
