#     Source : patch in
#     Faces  : 80
#     Area   : 4.00000000e+01
#          Time	sum(phi)
3.29519120e+01	-4.00000000e+01
3.30201353e+01	-4.00000000e+01
3.30883659e+01	-4.00000000e+01
3.31566039e+01	-4.00000000e+01
3.32248492e+01	-4.00000000e+01
3.32931018e+01	-4.00000000e+01
3.33613617e+01	-4.00000000e+01
3.34296288e+01	-4.00000000e+01
3.34979031e+01	-4.00000000e+01
3.35661847e+01	-4.00000000e+01
3.36344734e+01	-4.00000000e+01
3.37027693e+01	-4.00000000e+01
3.37710723e+01	-4.00000000e+01
3.38393824e+01	-4.00000000e+01
3.39076997e+01	-4.00000000e+01
3.39760241e+01	-4.00000000e+01
3.40443555e+01	-4.00000000e+01
3.41126940e+01	-4.00000000e+01
3.41810395e+01	-4.00000000e+01
3.42493921e+01	-4.00000000e+01
3.43177516e+01	-4.00000000e+01
3.43861181e+01	-4.00000000e+01
3.44544916e+01	-4.00000000e+01
3.45228720e+01	-4.00000000e+01
3.45912594e+01	-4.00000000e+01
3.46596536e+01	-4.00000000e+01
3.47280548e+01	-4.00000000e+01
3.47964629e+01	-4.00000000e+01
3.48648779e+01	-4.00000000e+01
3.49332997e+01	-4.00000000e+01
3.50017284e+01	-4.00000000e+01
3.50701639e+01	-4.00000000e+01
3.51386063e+01	-4.00000000e+01
3.52070554e+01	-4.00000000e+01
3.52755113e+01	-4.00000000e+01
3.53439740e+01	-4.00000000e+01
3.54124434e+01	-4.00000000e+01
3.54809195e+01	-4.00000000e+01
3.55494024e+01	-4.00000000e+01
3.56178919e+01	-4.00000000e+01
3.56863881e+01	-4.00000000e+01
3.57548910e+01	-4.00000000e+01
3.58234005e+01	-4.00000000e+01
3.58919166e+01	-4.00000000e+01
3.59604394e+01	-4.00000000e+01
3.60289687e+01	-4.00000000e+01
3.60975047e+01	-4.00000000e+01
3.61660472e+01	-4.00000000e+01
3.62345962e+01	-4.00000000e+01
3.63031518e+01	-4.00000000e+01
3.63717139e+01	-4.00000000e+01
3.64402824e+01	-4.00000000e+01
3.65088575e+01	-4.00000000e+01
3.65774390e+01	-4.00000000e+01
3.66460270e+01	-4.00000000e+01
3.67146214e+01	-4.00000000e+01
3.67832222e+01	-4.00000000e+01
3.68518293e+01	-4.00000000e+01
3.69204429e+01	-4.00000000e+01
3.69890628e+01	-4.00000000e+01
3.70576891e+01	-4.00000000e+01
3.71263217e+01	-4.00000000e+01
3.71949606e+01	-4.00000000e+01
3.72636059e+01	-4.00000000e+01
3.73322573e+01	-4.00000000e+01
3.74009149e+01	-4.00000000e+01
3.74695780e+01	-4.00000000e+01
3.75382466e+01	-4.00000000e+01
3.76069206e+01	-4.00000000e+01
3.76756000e+01	-4.00000000e+01
3.77442849e+01	-4.00000000e+01
3.78129751e+01	-4.00000000e+01
3.78816707e+01	-4.00000000e+01
3.79503717e+01	-4.00000000e+01
3.80190779e+01	-4.00000000e+01
3.80877895e+01	-4.00000000e+01
3.81565063e+01	-4.00000000e+01
3.82252284e+01	-4.00000000e+01
3.82939557e+01	-4.00000000e+01
3.83626882e+01	-4.00000000e+01
3.84314260e+01	-4.00000000e+01
3.85001688e+01	-4.00000000e+01
3.85689169e+01	-4.00000000e+01
3.86376700e+01	-4.00000000e+01
3.87064283e+01	-4.00000000e+01
3.87751916e+01	-4.00000000e+01
3.88439601e+01	-4.00000000e+01
3.89127335e+01	-4.00000000e+01
3.89815121e+01	-4.00000000e+01
3.90502956e+01	-4.00000000e+01
3.91190841e+01	-4.00000000e+01
3.91878776e+01	-4.00000000e+01
3.92566761e+01	-4.00000000e+01
3.93254795e+01	-4.00000000e+01
3.93942879e+01	-4.00000000e+01
3.94631011e+01	-4.00000000e+01
3.95319193e+01	-4.00000000e+01
3.96007423e+01	-4.00000000e+01
3.96695702e+01	-4.00000000e+01
3.97384030e+01	-4.00000000e+01
3.98072406e+01	-4.00000000e+01
3.98760830e+01	-4.00000000e+01
3.99449302e+01	-4.00000000e+01
4.00137823e+01	-4.00000000e+01
4.00826391e+01	-4.00000000e+01
4.01515006e+01	-4.00000000e+01
4.02203670e+01	-4.00000000e+01
4.02892380e+01	-4.00000000e+01
4.03581139e+01	-4.00000000e+01
4.04269944e+01	-4.00000000e+01
4.04958796e+01	-4.00000000e+01
4.05647695e+01	-4.00000000e+01
4.06336642e+01	-4.00000000e+01
4.07025635e+01	-4.00000000e+01
4.07714674e+01	-4.00000000e+01
4.08403761e+01	-4.00000000e+01
4.09092893e+01	-4.00000000e+01
4.09782073e+01	-4.00000000e+01
4.10471298e+01	-4.00000000e+01
4.11160570e+01	-4.00000000e+01
4.11849888e+01	-4.00000000e+01
4.12539252e+01	-4.00000000e+01
4.13228663e+01	-4.00000000e+01
4.13918119e+01	-4.00000000e+01
4.14607622e+01	-4.00000000e+01
4.15297170e+01	-4.00000000e+01
4.15986764e+01	-4.00000000e+01
4.16676404e+01	-4.00000000e+01
4.17366090e+01	-4.00000000e+01
4.18055821e+01	-4.00000000e+01
4.18745598e+01	-4.00000000e+01
4.19435420e+01	-4.00000000e+01
4.20125288e+01	-4.00000000e+01
4.20815202e+01	-4.00000000e+01
4.21505161e+01	-4.00000000e+01
4.22195165e+01	-4.00000000e+01
4.22885215e+01	-4.00000000e+01
4.23575310e+01	-4.00000000e+01
4.24265450e+01	-4.00000000e+01
4.24955636e+01	-4.00000000e+01
4.25645867e+01	-4.00000000e+01
4.26336143e+01	-4.00000000e+01
4.27026464e+01	-4.00000000e+01
4.27716831e+01	-4.00000000e+01
4.28407242e+01	-4.00000000e+01
4.29097699e+01	-4.00000000e+01
4.29788201e+01	-4.00000000e+01
4.30478748e+01	-4.00000000e+01
4.31169340e+01	-4.00000000e+01
4.31859977e+01	-4.00000000e+01
4.32550660e+01	-4.00000000e+01
4.33241387e+01	-4.00000000e+01
4.33932159e+01	-4.00000000e+01
4.34622977e+01	-4.00000000e+01
4.35313839e+01	-4.00000000e+01
4.36004747e+01	-4.00000000e+01
4.36695700e+01	-4.00000000e+01
4.37386697e+01	-4.00000000e+01
4.38077740e+01	-4.00000000e+01
4.38768828e+01	-4.00000000e+01
4.39459961e+01	-4.00000000e+01
4.40151139e+01	-4.00000000e+01
4.40842363e+01	-4.00000000e+01
4.41533631e+01	-4.00000000e+01
4.42224945e+01	-4.00000000e+01
4.42916304e+01	-4.00000000e+01
4.43607708e+01	-4.00000000e+01
4.44299157e+01	-4.00000000e+01
4.44990651e+01	-4.00000000e+01
4.45682191e+01	-4.00000000e+01
4.46373775e+01	-4.00000000e+01
4.47065405e+01	-4.00000000e+01
4.47757080e+01	-4.00000000e+01
4.48448800e+01	-4.00000000e+01
4.49140566e+01	-4.00000000e+01
4.49832376e+01	-4.00000000e+01
4.50524232e+01	-4.00000000e+01
4.51216133e+01	-4.00000000e+01
4.51908079e+01	-4.00000000e+01
4.52600070e+01	-4.00000000e+01
4.53292107e+01	-4.00000000e+01
