# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
5.93246        	-2.24169525e-07	1.23691913e+00	1.99235737e-05	9.73761733e-06	1.01859564e-05
5.99132        	-2.42826041e-07	1.23425986e+00	2.05896872e-05	1.00520175e-05	1.05376696e-05
6.05043        	-2.62364859e-07	1.23178789e+00	1.80415045e-05	8.75838740e-06	9.28311712e-06
6.10953        	-2.82400161e-07	1.22939402e+00	1.91670979e-05	9.30114880e-06	9.86594912e-06
6.16864        	-3.01757748e-07	1.22655935e+00	2.49162313e-05	1.21563579e-05	1.27598734e-05
6.22775        	-3.22202895e-07	1.22358837e+00	2.72971237e-05	1.33263590e-05	1.39707648e-05
6.28686        	-3.43822979e-07	1.22101915e+00	2.50755069e-05	1.21939305e-05	1.28815764e-05
6.34622        	-3.66180754e-07	1.21817222e+00	2.30509958e-05	1.11593171e-05	1.18916786e-05
6.40559        	-3.87095557e-07	1.21670125e+00	2.03408070e-05	9.78330793e-06	1.05574990e-05
6.46495        	-4.06863991e-07	1.21387014e+00	1.93548828e-05	9.27057743e-06	1.00843054e-05
6.52432        	-4.24413723e-07	1.21208944e+00	2.16413611e-05	1.03962668e-05	1.12450943e-05
6.58368        	-4.48283527e-07	1.20989138e+00	2.03230449e-05	9.71323892e-06	1.06098060e-05
6.64331        	-4.77818898e-07	1.20789376e+00	2.46452021e-05	1.18447821e-05	1.28004199e-05
6.70294        	-4.99777939e-07	1.20607664e+00	2.63229459e-05	1.26616950e-05	1.36612509e-05
6.76257        	-5.15300706e-07	1.20441840e+00	2.33029282e-05	1.11361634e-05	1.21667648e-05
6.82219        	-5.25140064e-07	1.20220795e+00	2.24702362e-05	1.07099780e-05	1.17602581e-05
6.88182        	-5.30272583e-07	1.20012129e+00	2.24743342e-05	1.07068945e-05	1.17674397e-05
6.94172        	-5.32465729e-07	1.19811961e+00	2.13985622e-05	1.01668154e-05	1.12317468e-05
7.00162        	-5.32999687e-07	1.19576929e+00	2.13236462e-05	1.01288234e-05	1.11948228e-05
7.06152        	-5.34193619e-07	1.19403423e+00	2.31127760e-05	1.10221944e-05	1.20905816e-05
7.12142        	-5.47199431e-07	1.19190320e+00	2.65836056e-05	1.27446033e-05	1.38390022e-05
7.18132        	-5.57875640e-07	1.18951490e+00	3.34599341e-05	1.61720914e-05	1.72878427e-05
7.24122        	-5.69189358e-07	1.18768979e+00	3.38499167e-05	1.63557690e-05	1.74941477e-05
7.30141        	-5.83601537e-07	1.18556527e+00	3.31092949e-05	1.59710459e-05	1.71382490e-05
7.36159        	-6.03238056e-07	1.18341450e+00	2.74059167e-05	1.30997203e-05	1.43061964e-05
7.42177        	-6.27476919e-07	1.18127485e+00	2.45248529e-05	1.16349495e-05	1.28899034e-05
7.48196        	-6.52299808e-07	1.17915543e+00	2.41512793e-05	1.14233399e-05	1.27279395e-05
7.54214        	-6.76359444e-07	1.17705445e+00	2.60761366e-05	1.23617088e-05	1.37144277e-05
7.60232        	-6.99723221e-07	1.17497106e+00	2.78075653e-05	1.32040594e-05	1.46035059e-05
7.6625         	-7.22202685e-07	1.17290662e+00	2.82946883e-05	1.34251415e-05	1.48695468e-05
7.72298        	-7.42424085e-07	1.17064119e+00	2.70575986e-05	1.27863752e-05	1.42712234e-05
7.78346        	-7.60337227e-07	1.16919605e+00	2.65033899e-05	1.24913577e-05	1.40120322e-05
7.84394        	-7.75306185e-07	1.16736973e+00	2.65119549e-05	1.24806713e-05	1.40312837e-05
7.90442        	-7.86982971e-07	1.16556258e+00	2.60098848e-05	1.22179594e-05	1.37919254e-05
7.96489        	-7.95332099e-07	1.16375985e+00	2.47504922e-05	1.15799140e-05	1.31705782e-05
8.02537        	-8.00058491e-07	1.16209844e+00	2.43917696e-05	1.13958263e-05	1.29959433e-05
8.08585        	-8.01054671e-07	1.16044210e+00	2.37934518e-05	1.10956712e-05	1.26977806e-05
8.14633        	-7.98872961e-07	1.15872021e+00	2.38441337e-05	1.11231939e-05	1.27209398e-05
8.20712        	-7.93859060e-07	1.15690708e+00	2.50228589e-05	1.17175704e-05	1.33052885e-05
